"qid","annotator","n_words","question_bn","paraphrase","pii_removed","notes"
"prot_0001_03","Sorup","73","আমি হিন্দু ধর্মাবলম্বী। আমার মামা একজন এবং মায়েরা দুই বোন। আমার প্রশ্ন হলো— ১. আমার দিদিমা (মায়ের মা) ২০১৩ সালে আমার মায়ের কাছে সাড়ে ৫ শতাংশ জমি সাব-রেজিস্ট্রি মূলে বিক্রয় করেন এবং দিদিমা ২০১৬ সালে মারা যান। ওই জমি খারিজ করা হয়নি। এখন আমার মামা কি ওই জমি ফেরত নিতে পারবেন? ২. আমার দিদিমা দুই বিঘা জমি রেখে মারা যান। এখন কি আমার মায়েরা দুই বোন ওই জমির অংশীদার হবেন? সুশান্ত কুমার নাটোর","আমরা হিন্দু। আমার মামা একজনই, আর মা ও মাসি মিলে ওঁরা দুই বোন। দুটো বিষয় জানতে চাই— ১. আমার দিদিমা (মায়ের মা) ২০১৩ সালে সাব-রেজিস্ট্রি অফিসে দলিল করে আমার মায়ের কাছে সাড়ে ৫ শতাংশ জমি বেচে দেন। ২০১৬ সালে দিদিমা মারা যান। ওই জমির খারিজ এখনো করানো হয়নি। এখন কি মামা ওই জমি আবার ফেরত নিতে পারবেন? ২. দিদিমা মারা যাওয়ার সময় দুই বিঘা জমি রেখে গেছেন। সেই জমিতে কি মা আর মাসি, এই দুই বোনও ভাগ পাবেন?","yes","Removed signature (name and district)"
"prot_0004_01","Sorup","192","আমি হিন্দু ধর্মালম্বী। আমার মামা দুজন। বড় মামা ১৯৯৪ থেকে মালয়েশিয়ায় থাকেন। ছোট মামা ১৯৯৫ থেকে সপরিবারে ভারতে বসবাস করেন। আমার ছোট মামা ১৯৯৪ সালে আমার মায়ের কাছে ২৪ শতাংশ জমি সাব-রেজিস্ট্রি মূলে বিক্রয় করে নিঃস্বত্ববান হন। পরে তিনি ১৯৯৭ সালে বেড়াতে এসে গোপনে এক মুসলিম লোকের কাছে ওই ২৪ শতাংশ ভূমি বিক্রয় করেন। এখন সেই ক্রেতা আমাদের জায়গা দখল করতে এলে আমরা এলাকার গণ্যমান্য ব্যক্তিদের নিয়ে সালিসে বসি। সালিস বৈঠকের সিদ্ধান্ত অনুযায়ী আদালতে বণ্টনের মোকদ্দমা করি। বণ্টনের মোকদ্দমায় সিদ্ধান্ত হয়, আমার ছোট মামা বাস্তবে সাড়ে ১৪ শতাংশ ভূমির মালিক। আমার প্রশ্ন হলো— ১. আমার মা কি সাড়ে ১৪ শতাংশের মালিকানা পাবেন এবং ওই ক্রেতা কি কোনো জায়গা পাবেন না? এদিকে আমার দিদিমা (মায়ের মা) ১৪ শতাংশ ভূমির মালিক ছিলেন। তিনি ২০০৮ সালে মারা যান। যার ফলে আমরা জানি যে, তাঁর সম্পত্তিতে আমার দুই মামা অংশীদার হবেন। ২. আমার ছোট মামা (যেহেতু তিনি আমাদের কাছে ২৪ শতাংশ জমি রেজিস্ট্রি করে বিক্রি করেছেন) তাঁর মায়ের সম্পত্তির থেকে যে ৭ শতাংশ জমির মালিক হবেন, সেই জমির মালিকানা কি আমরা পাব? ৩. আমার মামারা যেহেতু দেশ আসেন না (তাঁদের সাথে ফোনে কথা হয়েছে, তাঁরা আসবেন না) তাই তাঁদের সম্পত্তিতে মালিক হবেন কারা? নাম প্রকাশে অনিচ্ছুক","আমরা হিন্দু পরিবারের। আমার দুই মামা। বড় মামা ১৯৯৪ সাল থেকে মালয়েশিয়ায় থাকেন, আর ছোট মামা ১৯৯৫ থেকে বউ-বাচ্চা নিয়ে ভারতে থাকেন। ১৯৯৪ সালে ছোট মামা সাব-রেজিস্ট্রি অফিসে দলিল করে আমার মায়ের কাছে ২৪ শতাংশ জমি বিক্রি করে দেন, ফলে ওই জমিতে তাঁর আর কোনো স্বত্ব থাকে না। এরপর ১৯৯৭ সালে দেশে বেড়াতে এসে তিনি চুপিচুপি ওই একই ২৪ শতাংশ জমি এক মুসলিম লোকের কাছে আবার বেচে দেন। এখন সেই ক্রেতা আমাদের জায়গা দখল করতে এলে আমরা এলাকার মাতব্বরদের নিয়ে সালিসে বসি। সালিসের সিদ্ধান্ত মেনে আদালতে বাঁটোয়ারার মামলা করি। সেই মামলায় রায় আসে, ছোট মামা আসলে সাড়ে ১৪ শতাংশ জমির মালিক। আমার প্রশ্নগুলো হলো— ১. মা কি ওই সাড়ে ১৪ শতাংশের মালিক হবেন, আর ওই ক্রেতা কি কোনো জমিই পাবেন না? ওদিকে আমার দিদিমা (মায়ের মা) ১৪ শতাংশ জমির মালিক ছিলেন, ২০০৮ সালে তিনি মারা যান। তাই আমরা যতদূর জানি, তাঁর সম্পত্তিতে দুই মামা ভাগ পাবেন। ২. ছোট মামা যেহেতু আমাদের কাছে ২৪ শতাংশ জমি রেজিস্ট্রি দলিলে বেচেছেন, তাই মায়ের সম্পত্তি থেকে তিনি যে ৭ শতাংশ পাবেন, সেই জমির মালিকানা কি আমরা পাব? ৩. মামারা তো দেশে আসেন না (ফোনে কথা হয়েছে, বলেছেন আসবেন না), তাহলে তাঁদের ভাগের সম্পত্তির মালিক হবে কারা?","no",""
"prot_0006_01","Sorup","116","আমার বয়স ৩০, অবিবাহিত। তিন বছর আগে বিবাহিত এক মুসলিম নারীর সঙ্গে আমার শারীরিক সম্পর্ক হয়েছিল। নিজের ভুল বুঝতে পেরে আমি দ্রুত ওই স্থান ত্যাগ করে অন্যত্র বদলি হই। কিছুদিন পর ওই নারী মোবাইল ফোনে জানায় যে তার একটি ছেলেসন্তান হয়েছে এবং সেটি আমারই, তার স্বামীর নয়। সন্তান জন্মের পর তার ডিভোর্স হয়ে গেছে নিজের ইচ্ছাতেই। এরপর সে বিভিন্ন সময় ভয়ভীতি দেখিয়ে আমার কাছ থেকে টাকা নিত। বর্তমানে তার ব্ল্যাকমেলে আমি অতিষ্ঠ। আমার প্রশ্ন হলো, পরীক্ষার মাধ্যমে ওই সন্তান যদি আমার বলে প্রমাণিত হয়, সে ক্ষেত্রে আমি আইনের আশ্রয় নিলে কি বিচার হবে? ওই সন্তান ভবিষ্যতে আমার সম্পত্তির অংশীদার হবে কি? উল্লেখ্য, আমি তার সঙ্গে আর কখনো দেখা করিনি, সে মোবাইলে টাকাপয়সা নিত। নাম প্রকাশে অনিচ্ছুক","আমার বয়স ৩০, বিয়ে করিনি। তিন বছর আগে একজন বিবাহিত মুসলিম মহিলার সঙ্গে আমার শারীরিক সম্পর্ক হয়ে যায়। পরে ভুলটা বুঝতে পেরে আমি তাড়াতাড়ি ওই জায়গা ছেড়ে অন্য জায়গায় বদলি হয়ে যাই। কিছুদিন পর মহিলাটি মোবাইলে ফোন করে বলে, তার একটা ছেলে হয়েছে আর ছেলেটা নাকি আমার, তার স্বামীর না। বাচ্চা হওয়ার পর সে নিজের ইচ্ছাতেই ডিভোর্স নিয়ে নেয়। তারপর থেকে নানা সময় ভয় দেখিয়ে সে আমার কাছ থেকে টাকা নিত। এখন তার এই ব্ল্যাকমেইলে আমি একেবারে অতিষ্ঠ। আমার জানার বিষয়, টেস্ট করে যদি প্রমাণ হয় বাচ্চাটা আমারই, তখন আমি আইনের কাছে গেলে কি এর কোনো বিচার হবে? আর ওই বাচ্চা কি ভবিষ্যতে আমার সম্পত্তির ভাগ পাবে? বলে রাখি, এরপর আমি আর কখনো তার সঙ্গে দেখা করিনি, টাকাপয়সা সে মোবাইলেই নিত।","no",""
"prot_0008_02","Sorup","11","আমি কি যৌতুক ও দেনমোহর—মোট আট লাখ টাকাই তাকে দিতে বাধ্য?","যৌতুক আর দেনমোহর মিলিয়ে পুরো আট লাখ টাকাই কি তাকে দিতে আমি বাধ্য?","no","Follow-up fragment: earlier context is missing"
"prot_0011_01","Sorup","92","আমার বিয়ে হয়েছে প্রায় ছয় মাস। আমি আমার পরিবারসহ গ্রামে থাকি। একদিন আমার স্ত্রী গোসল করছিল। তখন একজন প্রতিবেশী যুবক গোপনে এবং আমার স্ত্রীর অজান্তে তা মোবাইল ফোনের ক্যামেরায় ভিডিও করে নেয়। কয়েক দিন পর ওই যুবকসহ দুজন ভিডিওটি আমাকে দেখায়। তারা আমার কাছে টাকার বিনিময়ে ভিডিওটি ফেরত দেওয়ার কথা বলে। অন্যথায় ভিডিও ইন্টারনেটে ছেড়ে দেওয়া হবে বলে হুমকি দেয়। ব্যাপারটি আমার স্ত্রী এখনো জানে না। এমতাবস্থায় পরিবারের সম্মান রক্ষার্থে আমার কী করা উচিত? আর যদি আইনের আশ্রয় নিতে হয় সে ক্ষেত্রে এটি কোন ধরনের মামলার অন্তর্ভুক্ত হবে? নাম প্রকাশে অনিচ্ছুক বাগেরহাট","প্রায় ছয় মাস হলো বিয়ে করেছি। পরিবারের সবার সঙ্গে গ্রামেই থাকি। একদিন আমার বউ গোসল করছিল, তখন পাশের বাড়ির এক ছেলে লুকিয়ে, বউয়ের অজান্তেই মোবাইল ক্যামেরায় সেটা ভিডিও করে ফেলে। কয়েক দিন পর ওই ছেলেসহ দুজন ভিডিওটা আমাকে দেখায়। তারা বলে, টাকা দিলে ভিডিওটা ফেরত দেবে, আর না দিলে ইন্টারনেটে ছেড়ে দেবে বলে হুমকি দেয়। আমার বউ এখনো ব্যাপারটা জানে না। এই অবস্থায় পরিবারের মান-সম্মান বাঁচাতে আমার কী করা উচিত? আর যদি আইনের পথে যেতেই হয়, তাহলে এটা কোন ধরনের মামলার মধ্যে পড়বে?","yes","Removed district in signature"
"prot_0012_02","Sorup","133","আমার পরিবারকে না জানিয়ে আমরা বিয়ে করি। দুই মাসের মধ্যে জানতে পারি আমার স্ত্রীর আরেকজনের সঙ্গে পরকীয়ার সম্পর্ক আছে। এরপর বিয়ের তিন মাসের মধ্যেই আমার স্ত্রীকে আইনিভাবে তালাক দিই। তালাকের নোটিশ আমি আমার স্ত্রীকে, স্ত্রীর ভাইকে ও অত্র এলাকার চেয়ারম্যানকে পাঠাই। কিন্তু চেয়ারম্যান নোটিশ পাওয়ার বিষয়টি গোপন করেন। এখন এত দিন পর ২০/১২/২০১৪ থেকে ১৪/০২/২০১৬ আমাকে ও আমার পরিবারকে আসামি করে নারী ও শিশু নির্যাতন দমন আইনের ১১-এর (গ) ধারায় যৌতুকের জন্য নির্যাতন, হত্যাচেষ্টার অভিযোগ এনে থানায় মামলা দায়ের করে। মামলায় আমাকে ও আমার মাকে বিবাদী করা হয়েছে। আর এ ঘটনার দিন-তারিখ নোটিশে উল্লেখ করা আছে। আমি এখন কীভাবে এ রকম পরিস্থিতি মোকাবিলা করব? মামলাটি আদালতে গেলে কি আমরা জামিন পাব? মিথ্যা মামলা দায়ের করার জন্য কি আমরা আইনি ব্যবস্থা নিতে পারব? আর আমি কি আমার তালাক রেজিস্ট্রি করতে পারব? নাম প্রকাশে অনিচ্ছুক","আমরা আমার পরিবারকে না জানিয়ে বিয়ে করেছিলাম। দুই মাসের মাথায় জানতে পারি, আমার বউয়ের অন্য একজনের সঙ্গে পরকীয়া চলছে। তাই বিয়ের তিন মাস যেতে না যেতেই আইন মেনে তাকে তালাক দিই। তালাকের নোটিশ পাঠাই বউকে, তার ভাইকে আর এলাকার চেয়ারম্যানকে। কিন্তু চেয়ারম্যান নোটিশ পাওয়ার কথা চেপে যান। এখন এত দিন পর ২০/১২/২০১৪ থেকে ১৪/০২/২০১৬ সময়ের কথা বলে আমাকে আর আমার পরিবারকে আসামি বানিয়ে থানায় মামলা করেছে, নারী ও শিশু নির্যাতন দমন আইনের ১১(গ) ধারায়, অভিযোগ যৌতুকের জন্য নির্যাতন আর খুনের চেষ্টা। মামলায় আমাকে আর আমার মাকে আসামি করা হয়েছে। আর এই ঘটনার দিন-তারিখ নোটিশেই লেখা আছে। এখন আমি এই পরিস্থিতি কীভাবে সামলাব? মামলা আদালতে উঠলে কি আমরা জামিন পাব? মিথ্যা মামলা দেওয়ার জন্য কি আমরা আইনি ব্যবস্থা নিতে পারব? আর আমার তালাকটা কি আমি রেজিস্ট্রি করাতে পারব?","no","The date range in the original sentence is garbled; kept as written"
"prot_0015_01","Sorup","124","বিয়ের এক বছর আগেই আমার স্বামী কোনো কারণে তাঁর পরিবার ছাড়তে বাধ্য হন। আমার সম্মতি ছাড়াই অভিভাবকেরা তাঁর সঙ্গে আমার বিয়ে দেন। কিন্তু বিয়ের ছয় বছর হলো আমি শ্বশুরবাড়ি যেতে পারিনি। শহর থেকে দূরে আমরা ভাড়া বাড়িতে থাকি। আমার স্বামী তিন ভাইয়ের মধ্যে ছোট। তাঁর একটি বোন ছিল। আমার শাশুড়ি তিন বছর আগে মারা গেলে শ্বশুর দ্বিতীয় বিয়ে করেন এবং সেই পক্ষের একটি মেয়ে হয়। শাশুড়ির মৃত্যুর পর বাড়ির দোতলার অর্ধেকটা আমাদের দেবেন বললেও বিভিন্ন টালবাহানায় কাটিয়ে দিচ্ছেন এত দিন। এখন পর্যন্ত দোতলাটা দখল করে আছে স্বামীর অন্য দুই ভাইবোন। শ্বশুরের তাতে কোনো মাথাব্যথাও নেই। আমার স্বামী সাহস করে কিছু বলতেও পারেন না। আমার তিন বছরের একটি মেয়ে আছে। এখন মেয়ের ভবিষ্যতের কথা চিন্তা করে শ্বশুরবাড়িতে উঠতে চাই। কী করতে পারি? জেসমিন আরা রাজশাহী","বিয়ের এক বছর আগেই কোনো একটা কারণে আমার স্বামীকে তার পরিবার ছেড়ে চলে আসতে হয়েছিল। আমার মত না নিয়েই বাড়ির মুরব্বিরা তার সঙ্গে আমার বিয়ে দিয়ে দেন। বিয়ের ছয় বছর হয়ে গেল, অথচ আমি একবারও শ্বশুরবাড়িতে যেতে পারিনি। শহর থেকে অনেক দূরে একটা ভাড়া বাসায় আমরা থাকি। তিন ভাইয়ের মধ্যে আমার স্বামী সবার ছোট, আর তার একটা বোনও ছিল। তিন বছর আগে আমার শাশুড়ি মারা যাওয়ার পর শ্বশুর আবার বিয়ে করেন, সেই ঘরে একটা মেয়ে হয়েছে। শাশুড়ি মারা যাওয়ার পর শ্বশুর বলেছিলেন বাড়ির দোতলার অর্ধেকটা আমাদের দেবেন, কিন্তু নানা বাহানায় এত দিন ঝুলিয়ে রেখেছেন। দোতলাটা এখনো স্বামীর অন্য দুই ভাইবোন দখল করে আছে। এ নিয়ে শ্বশুরের কোনো মাথাব্যথাই নেই। আমার স্বামীও সাহস করে কিছু বলতে পারে না। আমাদের তিন বছরের একটা মেয়ে আছে। মেয়েটার ভবিষ্যৎ ভেবে এখন আমি শ্বশুরবাড়িতে গিয়ে উঠতে চাই। কী করতে পারি?","yes","Removed signature (name and district)"
"prot_0025_03","Sorup","34","একমাত্র পুত্রসন্তানের বয়স সাড়ে পাঁচ বছর। আমরা দুজনেই সরকারি চাকরিজীবী। আমাদের সম্পর্কটা ক্রমেই বিবাহবিচ্ছেদের দিকে মোড় নিচ্ছে। আমি মনেপ্রাণে চাই না আমাদের কারণে সন্তানের জীবনটা ক্ষতিগ্রস্ত হোক। আমার জিজ্ঞাসা, বিবাহবিচ্ছেদের পদ্ধতি বা নিয়মকানুন কী?","আমাদের একটাই ছেলে, বয়স সাড়ে পাঁচ বছর। আমরা স্বামী-স্ত্রী দুজনেই সরকারি চাকরি করি। আমাদের সম্পর্কটা দিন দিন ডিভোর্সের দিকেই যাচ্ছে। মন থেকে চাই না আমাদের ঝামেলার কারণে বাচ্চাটার জীবন নষ্ট হোক। জানতে চাই, ডিভোর্স করতে হলে নিয়মকানুন বা প্রক্রিয়াটা কী?","no",""
"prot_0029_01","Sorup","93","আমি সিএ পড়ি। যে মেয়েটির সঙ্গে আমার সম্পর্ক, সে উচ্চমাধ্যমিক পর্যায়ে পড়ছে। দুই বছর আগে তার পরিবার জোর করে তাকে বিয়ে দিয়ে দেয়। তখন তার বয়স মাত্র ১৫, আর তার স্বামীর বয়স ৩৫ বছর। মেয়েটি তার স্বামীর সঙ্গে সংসার করতে চায় না। আমরা ঠিক করেছি, আগামী বছর তার উচ্চমাধ্যমিক পরীক্ষা শেষ হলে বিয়ে করব। তার পক্ষে পরিবারে থাকা অবস্থায় স্বামীকে তালাক দেওয়া সম্ভব নয়। তাই সে সিদ্ধান্ত নিয়েছে, পরীক্ষার পরই আমার কাছে চলে আসবে। এ ক্ষেত্রে আমাদের করণীয় কী? ও চলে এলে আমাদের কী কী আইনগত সমস্যা হতে পারে এবং এর প্রতিকার কী?","আমি সিএ পড়ছি। যে মেয়েটার সঙ্গে আমার সম্পর্ক, সে এখন ইন্টারমিডিয়েটে পড়ে। দুই বছর আগে তার বাড়ির লোকজন জোর করে তাকে বিয়ে দিয়ে দেয়। তখন তার বয়স মাত্র ১৫, আর বরের বয়স ৩৫। মেয়েটা ওই স্বামীর সঙ্গে সংসার করতে চায় না। আমরা ঠিক করেছি, সামনের বছর ওর এইচএসসি পরীক্ষা শেষ হলে বিয়ে করব। বাড়িতে থেকে ওর পক্ষে স্বামীকে তালাক দেওয়া সম্ভব না। তাই ও ঠিক করেছে, পরীক্ষা শেষ হলেই সোজা আমার কাছে চলে আসবে। এই অবস্থায় আমাদের কী করা উচিত? ও চলে এলে আমরা কী কী আইনি ঝামেলায় পড়তে পারি, আর সেগুলোর প্রতিকার কী?","no",""
"prot_0033_01","Sorup","92","এক ব্যক্তি তিন মেয়ে ও এক ছেলে রেখে মারা যান। তাঁর স্ত্রী আবার বিয়ে করেন। এরই মধ্যে তাঁর আগের পক্ষের ছেলেটি মারা যায় এবং দ্বিতীয় ঘরে এক ছেলে সন্তান জন্ম নেয়। মৃত ব্যক্তি ও মৃত ছেলের অবর্তমানে সম্পত্তির মালিক হয় তিন কন্যা ও স্ত্রী। দ্বিতীয় ঘরের ছেলে তার মায়ের সম্পত্তির অংশ পাবে। কিন্তু প্রশ্ন হলো, প্রথম ঘরের মৃত ভাইয়ের সম্পত্তিরও অংশ পাবে কি না? সেই ছেলেটি তার সৎবোনদের হয়রানি করছে এই বলে যে, ভাইটি তার জন্ম হওয়ার পর মারা গেছে। তাই তিনি তার ভাইয়ের সম্পত্তির অংশ পাবেন। নাম ও ঠিকানা প্রকাশে অনিচ্ছুক","এক লোক মারা যাওয়ার সময় তিন মেয়ে আর এক ছেলে রেখে যান। পরে তাঁর বউ আবার বিয়ে করেন। এর মধ্যে আগের ঘরের ছেলেটা মারা যায়, আর দ্বিতীয় সংসারে একটা ছেলে জন্ম নেয়। মৃত লোকটি আর মৃত ছেলেটি না থাকায় সম্পত্তির মালিক হয় তিন মেয়ে আর ওই স্ত্রী। দ্বিতীয় ঘরের ছেলেটা তার মায়ের সম্পত্তি থেকে ভাগ পাবে, সেটা ঠিক আছে। কিন্তু প্রশ্ন হলো, আগের ঘরের যে ভাই মারা গেছে, তার সম্পত্তিতেও কি সে ভাগ পাবে? ওই ছেলে এখন তার সৎবোনদের হয়রানি করছে, বলছে ভাইটা তো তার জন্মের পরে মারা গেছে, তাই ভাইয়ের সম্পত্তিতে তারও ভাগ আছে।","no",""
"prot_0036_04","Sorup","55","হিন্দুধর্মাবলম্বী একজনের সঙ্গে আমার প্রায় পাঁচ বছরের সম্পর্ক। আমরা দুজনই প্রাপ্তবয়স্ক এবং ধর্ম পরিবর্তন না করে বিয়ে করতে চাই। কিন্তু পরে উভয়ের প্রভাবশালী পরিবার আমাদের জীবনের জন্য বড় হুমকি হয়ে দাঁড়াবে। দুই পক্ষের মধ্যে ভয়ানক বিরোধের আশঙ্কাও রয়েছে। এই সমস্যাগুলো এড়িয়ে যাওয়ার জন্য আমরা আগে থেকে কীভাবে আইনি ব্যবস্থা নিতে পারি?নাম ও ঠিকানা প্রকাশে অনিচ্ছুক","হিন্দু ধর্মের একজনের সঙ্গে আমার প্রায় পাঁচ বছরের সম্পর্ক। আমরা দুজনেই প্রাপ্তবয়স্ক, আর কেউ ধর্ম না বদলিয়েই বিয়ে করতে চাই। কিন্তু বিয়ের পরে দুই পক্ষের প্রভাবশালী পরিবার আমাদের জানের জন্য বড় হুমকি হয়ে উঠবে। দুই পরিবারের মধ্যে ভয়ংকর ঝগড়া-বিবাদ লাগার ভয়ও আছে। এসব ঝামেলা এড়াতে আগেভাগেই আমরা কীভাবে আইনি ব্যবস্থা নিয়ে রাখতে পারি?","no",""
