qid,annotator,n_words,question_bn,paraphrase,pii_removed,notes,reason,corrected_paraphrase
prot_0000_04,Sarwad,88,"আমার সমস্যা হচ্ছে, আমার মায়েরা চার বোন ও এক ভাই। নানা মারা গেছেন। নানি জীবিত। নানার সম্পত্তি তিন বোন নিয়েছেন। ছোট খালা এখনো নেননি। অনেক ঘোরাঘুরি করছেন কিন্তু মামা বিভিন্ন অজুহাত দেখাচ্ছেন। আমার নানির দুই আনা সম্পত্তিসহ নিজের নামে ৯৯ শতাংশ জমি ছিল, যা মায়েরা চার বোন এবং এক মামা উত্তরাধিকারসূত্রে পাওনাদার ছিল। কিন্তু গত ১০ জুলাই তারিখে আমার মামা, মামাতো ভাই, বোন এবং মামি চাপ দিয়ে মামার নামে রেজিস্ট্রি করে নিছে। রেজিস্ট্রি করার পর ঘটনাটি জানাজানি হয়। এখন আদৌ কি আমার মায়ের প্রাপ্য অংশ ফিরে পাওয়া সম্ভব?","আমার সমস্যা হচ্ছে, আমার মায়েরা চার বোন ও এক ভাই। নানা মারা গেছেন। নানি জীবিত। নানার সম্পত্তি তিন বোন নিয়েছেন। ছোট খালা এখনো নেননি। অনেক ঘোরাঘুরি করছেন কিন্তু মামা বিভিন্ন অজুহাত দেখাচ্ছেন। আমার নানির দুই আনা সম্পত্তিসহ নিজের নামে ৯৯ শতাংশ জমি ছিল, যা মায়েরা চার বোন এবং এক মামা উত্তরাধিকারসূত্রে পাওনাদার ছিল। কিন্তু গত ১০ জুলাই তারিখে আমার মামা, মামাতো ভাই, বোন এবং মামি চাপ দিয়ে মামার নামে রেজিস্ট্রি করে নিছে। রেজিস্ট্রি করার পর ঘটনাটি জানাজানি হয়। এখন আদৌ কি আমার মায়ের প্রাপ্য অংশ ফিরে পাওয়া সম্ভব?",no,,exact copy of copyrighted source question,"আমার মা-খালারা চার বোন ও এক ভাই। নানা মারা গেছেন, নানি জীবিত। নানার জমিতে ছোট খালা এখনো অংশ পাননি। নানির দুই আনা অংশসহ নিজের ৯৯ শতাংশ জমি পাঁচ সন্তানের পাওয়ার কথা ছিল, কিন্তু গত ১০ জুলাই মামা পরিবারকে চাপ দিয়ে সব নিজের নামে রেজিস্ট্রি করিয়েছেন। আমার মা কি তাঁর অংশ ফেরত পেতে পারেন?"
prot_0003_03,Sarwad,114,"২০১৩ সালে আমার বোনের বিয়ে হয়। বোন এখন তাঁর স্বামীকে তালাক দিতে চান। বিয়ে কাজি অফিসে নিবন্ধিত হয়েছিল। বর্তমানে আমার বোন কানাডায় থাকেন এবং সে দেশের স্থায়ী বাসিন্দা। তাঁর স্বামী থাকেন বগুড়ায়। তিনি কানাডা যাওয়ার জন্য চেষ্টা করেছেন কিন্তু প্রয়োজনীয় কাগজপত্র পাননি। আমি ঢাকায় থাকি। বোনের তালাকের আইনি প্রক্রিয়া কি আমরা ঢাকা থেকেই করতে পারব, নাকি বগুড়ায় যেতে হবে? তালাকের প্রক্রিয়া কি কাজি অফিসের মাধ্যমেই করতে হবে? আরেকটি বিষয়। আমরা তিন ভাই, তিন বোন। একই ভবনে আমাদের সাতটা ফ্ল্যাট রয়েছে। এর একটি আমার মায়ের। এখন আমার মা চাচ্ছেন ফ্ল্যাটটি তাঁর ছেলেমেয়েদের উইল করে দিয়ে দিতে। তিনি কি মুসলিম আইন অনুযায়ী এটা করতে পারেন? আমরা ভাই ও বোনেরা কি সমান অংশ পাব? নাম প্রকাশে অনিচ্ছুক","২০১৩ সালে আমার বোনের বিয়ে হয়। বোন এখন তাঁর স্বামীকে তালাক দিতে চান। বিয়ে কাজি অফিসে নিবন্ধিত হয়েছিল। বর্তমানে আমার বোন কানাডায় থাকেন এবং সে দেশের স্থায়ী বাসিন্দা। তাঁর স্বামী থাকেন বগুড়ায়। তিনি কানাডা যাওয়ার জন্য চেষ্টা করেছেন কিন্তু প্রয়োজনীয় কাগজপত্র পাননি। আমি ঢাকায় থাকি। বোনের তালাকের আইনি প্রক্রিয়া কি আমরা ঢাকা থেকেই করতে পারব, নাকি বগুড়ায় যেতে হবে? তালাকের প্রক্রিয়া কি কাজি অফিসের মাধ্যমেই করতে হবে? আরেকটি বিষয়। আমরা তিন ভাই, তিন বোন। একই ভবনে আমাদের সাতটা ফ্ল্যাট রয়েছে। এর একটি আমার মায়ের। এখন আমার মা চাচ্ছেন ফ্ল্যাটটি তাঁর ছেলেমেয়েদের উইল করে দিয়ে দিতে। তিনি কি মুসলিম আইন অনুযায়ী এটা করতে পারেন? আমরা ভাই ও বোনেরা কি সমান অংশ পাব? নাম প্রকাশে অনিচ্ছুক",yes,,exact copy of copyrighted source question,"আমার বোনের বিয়ে ২০১৩ সালে কাজি অফিসে নিবন্ধিত হয়। তিনি এখন কানাডার স্থায়ী বাসিন্দা, স্বামী অন্য জেলায় থাকেন। বাংলাদেশে থাকা আমরা কি ঢাকা থেকে তালাকের প্রক্রিয়া করতে পারব, নাকি স্বামীর জেলায় বা কাজি অফিসে যেতে হবে? আবার আমাদের মায়ের সাতটি ফ্ল্যাটের একটি তিনি তিন ছেলে ও তিন মেয়েকে উইল করতে চান। মুসলিম আইনে তা সম্ভব হলে সবাই কি সমান ভাগ পাব?"
prot_0004_04,Sarwad,23,"পাবলিক প্লেসে ধূমপানের অপরাধে কত দিনের সাজা হতে পারে? ধূমপানের কারণে কাউকে শাস্তি দিতে হলে, আমি কীভাবে পুলিশের সাহায্য পাব? মেরিনা বুশরা কুমিল্লা","পাবলিক প্লেসে ধূমপানের অপরাধে কত দিনের সাজা হতে পারে? ধূমপানের কারণে কাউকে শাস্তি দিতে হলে, আমি কীভাবে পুলিশের সাহায্য পাব? মেরিনা বুশরা কুমিল্লা",yes,,exact copy of copyrighted source question,প্রকাশ্য স্থানে ধূমপান করলে জেল বা অন্য কী শাস্তি হয়? কাউকে এ অপরাধে শাস্তি দিতে পুলিশের সহায়তা চাইলে কীভাবে এগোতে হবে?
prot_0006_04,Sarwad,22,আমরা দুই বোন ও এক ভাই। আমি শুনেছি মৃত পিতার বসতবাড়ির সম্পত্তিতে মেয়েদের কোনো অধিকার থাকে না। এটা কি সত্য? তানিয়া শারমীন,আমরা দুই বোন ও এক ভাই। আমি শুনেছি মৃত পিতার বসতবাড়ির সম্পত্তিতে মেয়েদের কোনো অধিকার থাকে না। এটা কি সত্য? তানিয়া শারমীন,yes,,exact copy of copyrighted source question,আমরা দুই বোন ও এক ভাই। বাবা মারা যাওয়ার পর শুনছি তাঁর বসতবাড়িতে মেয়েদের কোনো অধিকার নেই। কথাটা কি আইনে সত্য?
prot_0010_01,Sarwad,85,"আমার বয়স ১৯ বছর। গত চার বছর ধরে আমার একটি মেয়ের সঙ্গে গভীর সম্পর্ক চলছে। আমাদের সম্পর্ক খুব ভালোভাবেই কাটছে। দুজনে সিদ্ধান্ত নিয়েছি, আমরা বিয়ে করব। কিন্তু মেয়েটির বয়স ১৬ বছর। তাই আমরা আগামী দুই বছর অপেক্ষা করেই বিয়ের কাজ সম্পন্ন করতে চাচ্ছি। কিন্তু আমাদের দুজনের ধর্ম আলাদা। বিষয়টি মেয়ের পরিবারে জানাজানির পর তারা সাফ জানিয়ে দিয়েছে, তারা কোনোভাবেই মেনে নেবে না। তাই আমরা সিদ্ধান্ত নিয়েছি বিয়ের সময় হলে, পালিয়ে গিয়ে বিয়ে করব। আমরা কীভাবে আমাদের বিয়ে সম্পন্ন করতে পারি? নাম ও ঠিকানা প্রকাশে অনিচ্ছুক","আমার বয়স ১৯ বছর। গত চার বছর ধরে আমার একটি মেয়ের সঙ্গে গভীর সম্পর্ক চলছে। আমাদের সম্পর্ক খুব ভালোভাবেই কাটছে। দুজনে সিদ্ধান্ত নিয়েছি, আমরা বিয়ে করব। কিন্তু মেয়েটির বয়স ১৬ বছর। তাই আমরা আগামী দুই বছর অপেক্ষা করেই বিয়ের কাজ সম্পন্ন করতে চাচ্ছি। কিন্তু আমাদের দুজনের ধর্ম আলাদা। বিষয়টি মেয়ের পরিবারে জানাজানির পর তারা সাফ জানিয়ে দিয়েছে, তারা কোনোভাবেই মেনে নেবে না। তাই আমরা সিদ্ধান্ত নিয়েছি বিয়ের সময় হলে, পালিয়ে গিয়ে বিয়ে করব। আমরা কীভাবে আমাদের বিয়ে সম্পন্ন করতে পারি? নাম ও ঠিকানা প্রকাশে অনিচ্ছুক",no,,exact copy of copyrighted source question,"আমার বয়স ১৯, আর চার বছর ধরে ১৬ বছরের এক মেয়ের সঙ্গে সম্পর্ক। আমরা তার ১৮ বছর হওয়া পর্যন্ত অপেক্ষা করে বিয়ে করতে চাই, কিন্তু ধর্ম আলাদা বলে পরিবার মানছে না। বয়স হলে পালিয়ে গিয়ে আইনিভাবে কীভাবে বিয়ে করতে পারি?"
prot_0011_05,Sarwad,178,"আমি আমার বাবার দ্বিতীয় পক্ষের মেয়েসন্তান। আমরা দুই বোন এক ভাই। বড় বোন বিবাহিত। আমি স্নাতক (সম্মান) চতুর্থ বর্ষে আর আমার ভাই প্রথম বর্ষে পড়াশোনা করে। এক সপ্তাহ আগে আমার বাবা গোপনে তাঁর সমস্ত সম্পত্তি (২ একর ৬৭ শতক) তাঁর প্রথম পক্ষের দুই ছেলেকে দলিল করে দিয়েছেন। আমার ভাইকে কোনো সম্পত্তি না দিয়ে, তাঁকে উত্তরাধিকার থেকে বঞ্চিত করেছেন। আমার বাবা আমাদের দুই ভাইবোনের পড়াশোনার কোনো খরচ বহন করেন না এবং মাসহ আমাদের কোনো ভরণপোষণ দেন না। তাতে আমরা মৌখিকভাবে অনেক অভিযোগ করলেও কোনো লাভ হয়নি। কিন্তু শেষ পর্যন্ত বাবার সম্পত্তি থেকে বঞ্চিত হব, এটা কোনোভাবেই আমরা মেনে নিতে পারছি না। এমনকি তিনি আমাদের বসতবাড়িটাও তাঁর দুই ছেলের নামে লিখে দিয়েছেন। আমাদের বাড়ি থেকে তাড়িয়ে দিয়েছেন। তবে এখনো তাঁর ৬৯ শতক জমি ব্যাংকের কাছে দায়বদ্ধ (মর্টগেজ) আছে। এখন প্রশ্ন হলো, আমরা বাবার এই অন্যায় কাজের বিরুদ্ধে কী ধরনের পদক্ষেপ নিতে পারি এবং উত্তরাধিকার সূত্রে কীভাবে তাঁর সম্পত্তির অংশ পেতে পারি। সঠিক আইনটি জানালে আমরা অনেক উপকৃত হব। বাংলাদেশে কি এমন আইন করা যায় না, যেখানে কোনো বাবাই তাঁর কোনো সন্তানকে তার ন্যায্য পাওনা থেকে বঞ্চিত করতে পারবেন না? সুলতানা","আমি আমার বাবার দ্বিতীয় পক্ষের মেয়েসন্তান। আমরা দুই বোন এক ভাই। বড় বোন বিবাহিত। আমি স্নাতক (সম্মান) চতুর্থ বর্ষে আর আমার ভাই প্রথম বর্ষে পড়াশোনা করে। এক সপ্তাহ আগে আমার বাবা গোপনে তাঁর সমস্ত সম্পত্তি (২ একর ৬৭ শতক) তাঁর প্রথম পক্ষের দুই ছেলেকে দলিল করে দিয়েছেন। আমার ভাইকে কোনো সম্পত্তি না দিয়ে, তাঁকে উত্তরাধিকার থেকে বঞ্চিত করেছেন। আমার বাবা আমাদের দুই ভাইবোনের পড়াশোনার কোনো খরচ বহন করেন না এবং মাসহ আমাদের কোনো ভরণপোষণ দেন না। তাতে আমরা মৌখিকভাবে অনেক অভিযোগ করলেও কোনো লাভ হয়নি। কিন্তু শেষ পর্যন্ত বাবার সম্পত্তি থেকে বঞ্চিত হব, এটা কোনোভাবেই আমরা মেনে নিতে পারছি না। এমনকি তিনি আমাদের বসতবাড়িটাও তাঁর দুই ছেলের নামে লিখে দিয়েছেন। আমাদের বাড়ি থেকে তাড়িয়ে দিয়েছেন। তবে এখনো তাঁর ৬৯ শতক জমি ব্যাংকের কাছে দায়বদ্ধ (মর্টগেজ) আছে। এখন প্রশ্ন হলো, আমরা বাবার এই অন্যায় কাজের বিরুদ্ধে কী ধরনের পদক্ষেপ নিতে পারি এবং উত্তরাধিকার সূত্রে কীভাবে তাঁর সম্পত্তির অংশ পেতে পারি। সঠিক আইনটি জানালে আমরা অনেক উপকৃত হব। বাংলাদেশে কি এমন আইন করা যায় না, যেখানে কোনো বাবাই তাঁর কোনো সন্তানকে তার ন্যায্য পাওনা থেকে বঞ্চিত করতে পারবেন না? সুলতানা",yes,,exact copy of copyrighted source question,"আমি বাবার দ্বিতীয় স্ত্রীর মেয়ে; আমরা দুই বোন ও এক ভাই, দুজন এখনো পড়ি। বাবা আমাদের খরচ বা ভরণপোষণ দেন না এবং ২ একর ৬৭ শতকসহ বসতবাড়ি প্রথম পক্ষের দুই ছেলেকে গোপনে লিখে দিয়ে আমাদের বের করেছেন। শুধু ব্যাংকে বন্ধক থাকা ৬৯ শতক বাকি। এই হস্তান্তরের বিরুদ্ধে কী করতে পারি, এবং বাবার সম্পত্তিতে উত্তরাধিকার কীভাবে পাব?"
prot_0012_04,Sarwad,81,"আমার বয়স ২২ বছর। আমার বাবা প্রথম পক্ষের স্ত্রীর গর্ভে বাচ্চা থাকা অবস্থায় তাঁকে তালাক দেন। সেটা ১৯৯০ সালে। এখন পর্যন্ত তাঁদের সঙ্গে কোনো যোগাযোগ নেই। আমার মা দ্বিতীয় পক্ষ। আমাদের ভিটাবাড়ি ছাড়া আর কোনো জমি নেই। আমাদের আর্থিক অবস্থা ভালো না। আমি এখন সংসার চালাই, বাবার বয়স হয়েছে। তিনি এখন আর কাজ করতে পারেন না। এখন কি প্রথম পক্ষের সন্তান আমার বাবার সম্পত্তির ভাগ পাবে। আমার বাবা আমার নামে সম্পত্তি দলিল করে দিলে কি আইনিভাবে বৈধ হবে? নাম প্রকাশে অনিচ্ছুক","আমার বয়স ২২ বছর। আমার বাবা প্রথম পক্ষের স্ত্রীর গর্ভে বাচ্চা থাকা অবস্থায় তাঁকে তালাক দেন। সেটা ১৯৯০ সালে। এখন পর্যন্ত তাঁদের সঙ্গে কোনো যোগাযোগ নেই। আমার মা দ্বিতীয় পক্ষ। আমাদের ভিটাবাড়ি ছাড়া আর কোনো জমি নেই। আমাদের আর্থিক অবস্থা ভালো না। আমি এখন সংসার চালাই, বাবার বয়স হয়েছে। তিনি এখন আর কাজ করতে পারেন না। এখন কি প্রথম পক্ষের সন্তান আমার বাবার সম্পত্তির ভাগ পাবে। আমার বাবা আমার নামে সম্পত্তি দলিল করে দিলে কি আইনিভাবে বৈধ হবে? নাম প্রকাশে অনিচ্ছুক",no,,exact copy of copyrighted source question,"আমার বয়স ২২। বাবা ১৯৯০ সালে প্রথম স্ত্রীকে গর্ভাবস্থায় তালাক দেন; তাঁদের সঙ্গে আর যোগাযোগ নেই। আমি দ্বিতীয় স্ত্রীর সন্তান, আমাদের শুধু ভিটাবাড়ি আছে এবং এখন আমিই সংসার চালাই। প্রথম পক্ষের সন্তান কি বাবার সম্পত্তি পাবে? বাবা আমার নামে দলিল করলে তা বৈধ হবে?"
prot_0018_03,Sarwad,47,"আমি বড় হওয়ার পর দাদার কাছে আমাদের প্রাপ্য সম্পত্তি চাইতে গেলে দাদা ও চাচারা বলেন, আমার বাবা দাদার আগে মারা গেছেন। সে জন্য আমরা কোনো সম্পত্তি পাব না। এর কিছুদিন পর দাদা মারা যান। তিনি কারও নামে কোনো দলিল করে দিয়ে যাননি। আইনগতভাবে আমরা কি সম্পত্তি পাব?","আমি বড় হওয়ার পর দাদার কাছে আমাদের প্রাপ্য সম্পত্তি চাইতে গেলে দাদা ও চাচারা বলেন, আমার বাবা দাদার আগে মারা গেছেন। সে জন্য আমরা কোনো সম্পত্তি পাব না। এর কিছুদিন পর দাদা মারা যান। তিনি কারও নামে কোনো দলিল করে দিয়ে যাননি। আইনগতভাবে আমরা কি সম্পত্তি পাব?",no,,exact copy of copyrighted source question,বাবা দাদার আগেই মারা যাওয়ায় দাদা-চাচারা বলেছিলেন আমরা কোনো সম্পত্তি পাব না। পরে দাদাও কোনো দলিল না করে মারা গেছেন। বাবার সন্তান হিসেবে আমরা কি দাদার সম্পত্তিতে অংশ পাব?
prot_0026_02,Sarwad,60,"আমার ছোট বোন ও তার স্বামীর তালাক হয়ে গেছে প্রায় আট মাস। তালাক আমার বোনই দেয়, তার স্বামীর কাছে তিনবার তালাকের নোটিশও গিয়েছে। এখন তারা নিজেরা ভুল বুঝতে পেরেছে এবং আবার সংসার করতে চায়। ইসলামের দৃষ্টিতে তারা কি আবার বিয়ে করতে পারে? এখন কি আমার বোনকে হিল্লা বিয়ে করতে হবে? বাংলাদেশের প্রেক্ষাপটে এভাবে বিয়ে করাটা কি যুক্তিসংগত হবে? মেহজাবিন রহমান","আমার ছোট বোন ও তার স্বামীর তালাক হয়ে গেছে প্রায় আট মাস। তালাক আমার বোনই দেয়, তার স্বামীর কাছে তিনবার তালাকের নোটিশও গিয়েছে। এখন তারা নিজেরা ভুল বুঝতে পেরেছে এবং আবার সংসার করতে চায়। ইসলামের দৃষ্টিতে তারা কি আবার বিয়ে করতে পারে? এখন কি আমার বোনকে হিল্লা বিয়ে করতে হবে? বাংলাদেশের প্রেক্ষাপটে এভাবে বিয়ে করাটা কি যুক্তিসংগত হবে? মেহজাবিন রহমান",yes,,exact copy of copyrighted source question,"আমার ছোট বোন আট মাস আগে স্বামীকে তালাক দিয়েছে এবং তিনবার নোটিশ গেছে। এখন দুজন ভুল বুঝে আবার সংসার করতে চায়। তারা কি পুনরায় বিয়ে করতে পারবে, নাকি হিল্লা বিয়ে লাগবে? বাংলাদেশে এমন বিয়ে আইনসম্মত কি?"
prot_0032_03,Sarwad,45,"বাবা আমার মায়ের নামে জমি ও বাড়ি দানপত্র রেজিস্ট্রি করে গেছেন। আমি বিবাহিত, তাই হিন্দু আইনে কোনো সম্পত্তি পাব না। মা আমাকে বিয়ের খরচ বাবদ কিছু জমি ও বাড়ি দিতে চান। দলিলটি কীভাবে লিখলে তা গ্রহণযোগ্য হবে। ভাই মামলা করলে আইন কি আমার পক্ষে থাকবে?","বাবা আমার মায়ের নামে জমি ও বাড়ি দানপত্র রেজিস্ট্রি করে গেছেন। আমি বিবাহিত, তাই হিন্দু আইনে কোনো সম্পত্তি পাব না। মা আমাকে বিয়ের খরচ বাবদ কিছু জমি ও বাড়ি দিতে চান। দলিলটি কীভাবে লিখলে তা গ্রহণযোগ্য হবে। ভাই মামলা করলে আইন কি আমার পক্ষে থাকবে?",no,,exact copy of copyrighted source question,বাবা জমি-বাড়ি মায়ের নামে দানপত্রে রেজিস্ট্রি করে গেছেন। বিবাহিত হিন্দু মেয়ে বলে আমি উত্তরাধিকার পাব না শুনেছি। মা বিয়ের খরচ হিসেবে আমাকে কিছু সম্পত্তি দিতে চান। কোন দলিলে দিলে তা টিকবে এবং ভাই মামলা করলে আইন কি আমার পক্ষে থাকবে?
prot_0035_04,Sarwad,43,"আমরা দুই ভাই, এক বোন। বাবা মারা গেছেন। আমাদের একমাত্র চাচা এখন আমাদের পৈতৃক সূত্রে পাওয়া জমির ভোগদখল করছেন। আমরা আমাদের বাবার ভাগ চাইতে গেলে তিনি হুমকি দেন। স্থানীয় মানুষও তাতে সমর্থন দেন। আমরা কীভাবে আমাদের পাওনা অংশটুকু পেতে পারি? নাম প্রকাশে অনিচ্ছুক","আমরা দুই ভাই, এক বোন। বাবা মারা গেছেন। আমাদের একমাত্র চাচা এখন আমাদের পৈতৃক সূত্রে পাওয়া জমির ভোগদখল করছেন। আমরা আমাদের বাবার ভাগ চাইতে গেলে তিনি হুমকি দেন। স্থানীয় মানুষও তাতে সমর্থন দেন। আমরা কীভাবে আমাদের পাওনা অংশটুকু পেতে পারি? নাম প্রকাশে অনিচ্ছুক",no,,exact copy of copyrighted source question,"আমরা দুই ভাই ও এক বোন; বাবা মারা গেছেন। একমাত্র চাচা বাবার পৈতৃক জমির অংশ দখল করে আছেন এবং চাইলে হুমকি দেন, স্থানীয়রাও তাঁকে সমর্থন করে। নিজেদের অংশ কীভাবে উদ্ধার করব?"
prot_0037_06,Sarwad,38,এখন আমরা বিয়ে করতে চাই। কিন্তু মেয়েটির বয়স ১৮ বছর হয়নি। জন্মনিবন্ধন অনুযায়ী তার বয়স ১৭ বছর আট মাস। আমি কি তার ১৮ বছর বয়স হলে বিয়ে করতে পারব। পরে মেয়েটির পরিবার আমাদের কোনো ক্ষতি করতে পারবে কি?,এখন আমরা বিয়ে করতে চাই। কিন্তু মেয়েটির বয়স ১৮ বছর হয়নি। জন্মনিবন্ধন অনুযায়ী তার বয়স ১৭ বছর আট মাস। আমি কি তার ১৮ বছর বয়স হলে বিয়ে করতে পারব। পরে মেয়েটির পরিবার আমাদের কোনো ক্ষতি করতে পারবে কি?,no,,exact copy of copyrighted source question,"আমরা বিয়ে করতে চাই, কিন্তু জন্মনিবন্ধনে মেয়েটির বয়স এখন ১৭ বছর ৮ মাস। সে ১৮ হলে কি আমরা আইনিভাবে বিয়ে করতে পারব? পরে তার পরিবার আমাদের বিরুদ্ধে কিছু করতে পারবে?"
prot_0040_03,Sarwad,79,"আমার মামা প্রবাসী। মামার স্ত্রী দেশে থাকেন। তিনি বেড়ানোর নাম করে মামার বাড়ি থেকে তাঁর বাপের বাড়িতে চলে যান। কিছুদিন পর আমরা অর্থাৎ মামার আত্মীয় স্বজন শুনতে পাই (ইউনিয়ন পরিষদের মাধ্যমে) যে, তিনি মামাকে তালাক দিয়েছেন। তবে আমার মামা এখনো প্রায় ১৩-১৪ মাস হলো কোনো কাগজপত্র পাননি। প্রশ্ন হলো ইসলামি আইনে স্ত্রীর তালাক দেওয়া বৈধ কি না? এবং আমার মামা যদি দেশে ফিরে তাঁর স্ত্রীকে আবার ঘরে আনতে চান (স্ত্রীর ইচ্ছায়), তাহলে কীভাবে আনতে পারবেন। নাম প্রকাশে অনিচ্ছুক ঢাকা","আমার মামা প্রবাসী। মামার স্ত্রী দেশে থাকেন। তিনি বেড়ানোর নাম করে মামার বাড়ি থেকে তাঁর বাপের বাড়িতে চলে যান। কিছুদিন পর আমরা অর্থাৎ মামার আত্মীয় স্বজন শুনতে পাই (ইউনিয়ন পরিষদের মাধ্যমে) যে, তিনি মামাকে তালাক দিয়েছেন। তবে আমার মামা এখনো প্রায় ১৩-১৪ মাস হলো কোনো কাগজপত্র পাননি। প্রশ্ন হলো ইসলামি আইনে স্ত্রীর তালাক দেওয়া বৈধ কি না? এবং আমার মামা যদি দেশে ফিরে তাঁর স্ত্রীকে আবার ঘরে আনতে চান (স্ত্রীর ইচ্ছায়), তাহলে কীভাবে আনতে পারবেন। নাম প্রকাশে অনিচ্ছুক ঢাকা",yes,,exact copy of copyrighted source question,"প্রবাসী মামার স্ত্রী বেড়ানোর কথা বলে বাবার বাড়ি গিয়ে ইউনিয়ন পরিষদের মাধ্যমে তালাক দিয়েছেন বলে শুনেছি, কিন্তু ১৩-১৪ মাসেও মামা কোনো কাগজ পাননি। স্ত্রী কি ইসলামি আইনে এভাবে তালাক দিতে পারেন? দুজন চাইলে মামা দেশে ফিরে কীভাবে আবার সংসার করবেন?"
prot_0044_03,Sarwad,126,"আমরা ছয় ভাই, আমি বড়। আমি ২০০৯ সালে আমার পছন্দের মেয়েকে আমার বাবার বিনা অনুমতিতে বিয়ে করি। চার বছর ধরে আমার সঙ্গে আমার বাবার যোগাযোগ নেই। আমি যোগাযোগ করার অনেকবার চেষ্টা করেছি, তিনি আমাদের মেনে নেননি। বর্তমানে আমার বাবা একটা মেয়েকে দত্তক নিতে চান। মাকে জোর করে রাজি করাতে চান। তিনি আমাদের ও মায়ের বিনা অনুমতিতে ওই মেয়েকে দত্তক নিতে পারবেন কি না? আমার মা রাজি না হলে তালাক দেওয়ার হুমকি দিচ্ছেন। এ নিয়ে বাবার বিরুদ্ধে আইনগত ব্যবস্থা নিতে পারব কি না। আমাদের অগোচরে বাবা সেই মেয়েকে বিভিন্ন জিনিস ও পড়ালেখার খরচ দেন। এখন আমাকে ও আমার স্ত্রীকে যেহেতু তিনি মেনে নেবেন না, সেহেতু তিনি আমাকে ত্যাজ্যপুত্র করলে বা আমি ত্যাজপুত্র হতে চাইলে আমি আমার বাবার অর্থ ও সম্পত্তির ভাগ পাব কি না? নাম প্রকাশে অনিচ্ছুকসাতক্ষীরা","আমরা ছয় ভাই, আমি বড়। আমি ২০০৯ সালে আমার পছন্দের মেয়েকে আমার বাবার বিনা অনুমতিতে বিয়ে করি। চার বছর ধরে আমার সঙ্গে আমার বাবার যোগাযোগ নেই। আমি যোগাযোগ করার অনেকবার চেষ্টা করেছি, তিনি আমাদের মেনে নেননি। বর্তমানে আমার বাবা একটা মেয়েকে দত্তক নিতে চান। মাকে জোর করে রাজি করাতে চান। তিনি আমাদের ও মায়ের বিনা অনুমতিতে ওই মেয়েকে দত্তক নিতে পারবেন কি না? আমার মা রাজি না হলে তালাক দেওয়ার হুমকি দিচ্ছেন। এ নিয়ে বাবার বিরুদ্ধে আইনগত ব্যবস্থা নিতে পারব কি না। আমাদের অগোচরে বাবা সেই মেয়েকে বিভিন্ন জিনিস ও পড়ালেখার খরচ দেন। এখন আমাকে ও আমার স্ত্রীকে যেহেতু তিনি মেনে নেবেন না, সেহেতু তিনি আমাকে ত্যাজ্যপুত্র করলে বা আমি ত্যাজপুত্র হতে চাইলে আমি আমার বাবার অর্থ ও সম্পত্তির ভাগ পাব কি না? নাম প্রকাশে অনিচ্ছুকসাতক্ষীরা",yes,,exact copy of copyrighted source question,"বাবার অমতে ২০০৯ সালে বিয়ে করায় চার বছর ধরে তিনি যোগাযোগ রাখেন না। এখন মাকে জোর করে রাজি করিয়ে একটি মেয়েকে দত্তক নিতে চান এবং আপত্তি করলে তালাকের হুমকি দেন। তিনি কি পরিবারের অনুমতি ছাড়া দত্তক নিতে পারেন, আর আমরা কী ব্যবস্থা নিতে পারি? বাবা আমাকে ত্যাজ্য করলে বা আমি সম্পর্ক ছাড়লে তাঁর সম্পত্তির ভাগ পাব কি?"
